,match_date,team_A,team_B,A_score,B_score,year,winning_team,A_attack,A_defense,A_mid,A_overall,B_attack,B_defense,B_mid,B_overall,A_win_streak,B_win_streak,A_lose_streak,B_lose_streak,h2h_matches,h2h_A_win,h2h_B_win,h2h_tie,h2h_A_goals,h2h_B_goals
0,2007-01-14,Sweden,Venezuela,0,2,2007,team_B,77.0,73.0,75.0,76.0,73.83333333333336,70.16666666666666,70.33333333333334,71.5,0,1,1,0,0,0,0,0,0,0
1,2007-01-18,Ecuador,Sweden,2,1,2007,team_A,70.0,67.0,68.0,70.0,77.0,73.0,75.0,76.0,0,0,3,2,0,0,0,0,0,0
2,2007-01-21,Ecuador,Sweden,1,1,2007,Draw,70.0,67.0,68.0,70.0,77.0,73.0,75.0,76.0,1,0,0,3,1,1,0,0,2,1
3,2007-02-06,Australia,Denmark,1,3,2007,team_B,75.0,73.0,75.0,76.0,77.0,75.0,78.0,78.0,1,4,0,0,0,0,0,0,0,0
4,2007-02-06,Greece,Korea Republic,0,1,2007,team_B,77.0,78.0,78.0,77.0,75.0,75.0,75.0,76.0,0,0,1,2,1,0,0,1,1,1
5,2007-02-06,Northern Ireland,Wales,0,0,2007,Draw,64.0,65.0,68.0,69.0,77.0,68.0,70.0,72.0,2,2,0,0,73,21,34,18,97,118
6,2007-02-06,Brazil,Portugal,0,2,2007,team_B,84.0,85.0,84.0,85.0,78.0,80.0,81.0,81.0,4,1,0,0,17,12,3,2,32,12
7,2007-02-07,Belgium,Czech Republic,0,2,2007,team_B,74.0,75.0,72.0,75.0,73.7,74.0,73.8,75.8,0,3,1,0,5,2,1,2,3,2
8,2007-02-07,Colombia,Uruguay,1,3,2007,team_B,78.57142857142857,75.2857142857143,76.7142857142857,77.57142857142857,78.0,73.0,72.0,77.0,2,0,0,1,32,10,14,8,35,43
9,2007-02-07,Croatia,Norway,2,1,2007,team_A,79.0,75.0,73.0,77.0,74.0,73.0,74.0,75.0,4,0,0,1,0,0,0,0,0,0
10,2007-02-07,Egypt,Sweden,2,0,2007,team_A,71.42857142857143,67.14285714285712,68.85714285714288,69.57142857142857,77.0,73.0,75.0,76.0,2,0,0,3,2,1,1,0,1,5
11,2007-02-07,England,Spain,0,1,2007,team_B,84.0,82.0,83.0,85.0,85.0,81.0,84.0,85.0,0,0,1,1,20,11,6,3,38,21
12,2007-02-07,Argentina,France,1,0,2007,team_A,83.0,80.0,79.0,83.0,86.0,83.0,82.0,85.0,0,2,2,0,9,4,2,3,9,7
13,2007-02-07,Germany,Switzerland,3,1,2007,team_A,82.0,83.0,80.0,84.0,76.0,77.0,74.0,76.0,6,0,0,2,47,33,8,6,124,59
14,2007-02-07,Morocco,Tunisia,1,1,2007,Draw,59.0,53.0,54.0,57.0,67.0,71.0,65.0,69.0,2,2,0,0,31,7,5,19,31,25
15,2007-02-07,Netherlands,Russia,4,1,2007,team_A,81.18181818181819,76.72727272727273,79.45454545454545,80.36363636363636,79.0,77.0,76.0,78.0,4,3,0,0,7,3,2,2,8,4
16,2007-02-07,Chile,Venezuela,1,0,2007,team_A,77.2857142857143,73.2857142857143,76.85714285714288,76.7142857142857,73.83333333333336,70.16666666666666,70.33333333333334,71.5,3,2,0,0,17,13,1,3,44,7
17,2007-02-13,Costa Rica,Panama,0,1,2007,team_B,59.0,53.0,54.0,57.0,59.0,53.0,54.0,57.0,3,1,0,0,25,17,3,5,60,18
